"CO_X";"CO_Y";"ZONA"
-46,4344585748;-23,6552378492;180
-46,4708889765;-23,6878472176;181
-46,5015630475;-23,6733112233;182
-46,5370887608;-23,6748354113;183
-46,5604930679;-23,6783939495;184
-46,5752409812;-23,6906459472;185
-46,6192079929;-23,7059107257;186
-46,6523471672;-23,6948406417;187
-46,6886012536;-23,6728061946;188
-46,7109612734;-23,6526155918;189
-46,7545143812;-23,7040548616;190
-46,7762148412;-23,6628207067;191
-46,7679891774;-23,6115681425;192
-46,7958553721;-23,6247609681;193
-46,7868353418;-23,5914550851;194
-46,8023981819;-23,5711642807;195
-46,7755965949;-23,5502997924;196
-46,7733622475;-23,5331908151;197
-46,802938254;-23,5386998353;198
-46,7692633957;-23,5174336606;199
-46,7886631108;-23,4944764207;200
-46,7738743226;-23,446312613;201
-46,71808821;-23,4391190478;202
-46,7025535582;-23,3861513313;203
-46,3188152301;-23,3856197302;204
-46,3338918051;-23,4607819032;205
-46,386351692;-23,5044646308;206
-46,4163738588;-23,5144084728;207
-46,3786222494;-23,531719238;208
-46,3474990239;-23,5167498819;209
-46,3453476722;-23,5433567529;210
-46,371809847;-23,5719527329;211
-46,3805828804;-23,6823309062;212
-46,4397024156;-23,7316669914;213
-46,4972897887;-23,7222412984;214
-46,5490313603;-23,7031886858;215
-46,5158465362;-23,7532797617;216
-46,5816307853;-23,7194754745;217
-46,5801228053;-23,7643617872;218
-46,7020015294;-23,869562269;219
-46,7039083469;-23,7214311732;220
-46,8038195733;-23,8091808275;221
-46,8579594479;-23,7340990585;222
-46,8512654297;-23,6510990553;223
-46,8960071112;-23,6035957757;224
-46,8432694467;-23,5637326843;225
-46,8393244659;-23,5312227166;226
-46,8713280703;-23,5219779492;227
-46,8992116384;-23,5441200539;228
-46,9512660052;-23,5361654094;229
-46,8804333697;-23,4951329528;230
-46,7846656388;-23,4128575779;231
-46,7857744538;-23,365806566;232
-46,7340560599;-23,4075649857;233
-46,7192048872;-23,3264985031;234
-46,2441145647;-23,4850392525;235
-46,1150272163;-23,5001361844;236
-46,1590057718;-23,5586998794;237
-46,2175297391;-23,5560486335;238
-46,2556876302;-23,5588108487;239
-46,3034633001;-23,5270524437;240
-46,3138367798;-23,6326764421;241
-46,3789625066;-23,737548342;242
-46,5323122377;-23,577379487;243
-46,4129328797;-23,5891413095;179
