Zona 1997;UCOD
1;1
2;1
3;1
4;1
5;1
6;1
7;4
8;5
9;7
10;7
11;2
12;2
13;2
14;2
15;2
16;2
17;3
18;4
19;4
20;5
21;5
22;5
23;5
24;5
25;6
26;6
27;6
28;7
29;7
30;8
31;8
32;8
33;13
34;13
35;13
36;3
37;3
38;4
39;4
40;4
41;4
42;19
43;19
44;19
45;19
46;23
47;23
48;23
49;23
50;23
51;24
52;24
53;6
54;25
55;6
56;26
57;26
58;7
59;7
60;37
61;37
62;8
63;9
64;8
65;9
66;10
67;10
68;13
69;12
70;14
71;14
72;14
73;14
74;3
75;14
76;3
77;15
78;15
79;15
80;17
81;17
82;19
83;19
84;19
85;19
86;21
87;22
88;22
89;22
90;50
91;29
92;28
93;29
94;30
95;24
96;24
97;25
98;26
99;26
100;26
101;7
102;53
103;37
104;37
105;53
106;37
107;37
108;37
109;9
110;38
111;9
112;10
113;38
114;10
115;38
116;10
117;10
118;10
119;10
120;10
121;12
122;12
123;12
124;12
125;43
126;43
127;43
128;43
129;43
130;14
131;43
132;15
133;15
134;44
135;44
136;16
137;16
138;16
139;16
140;16
141;17
142;17
143;17
144;18
145;18
146;20
147;20
148;20
149;20
150;21
151;21
152;21
153;21
154;22
155;21
156;22
157;50
158;50
159;28
160;28
161;28
162;29
163;29
164;29
165;30
166;30
167;30
168;31
169;25
170;31
171;25
172;32
173;27
174;27
175;26
176;27
177;54
178;53
179;54
180;57
181;59
182;38
183;39
184;39
185;39
186;39
187;39
188;39
189;39
190;11
191;11
192;11
193;11
194;42
195;42
196;42
197;43
198;43
199;43
200;43
201;44
202;44
203;46
204;46
205;48
206;48
207;48
208;61
209;61
210;18
211;18
212;20
213;20
214;21
215;21
216;63
217;63
218;28
219;33
220;33
221;33
222;33
223;34
224;34
225;33
226;34
227;34
228;31
229;31
230;31
231;31
232;32
233;32
234;32
235;27
236;32
237;54
238;56
239;55
240;58
241;58
242;59
243;59
244;39
245;39
246;40
247;40
248;40
249;40
250;40
251;41
252;41
253;41
254;41
255;41
256;42
257;42
258;42
259;42
260;45
261;45
262;44
263;44
264;44
265;47
266;47
267;49
268;67
269;67
270;61
271;61
272;61
273;62
274;62
275;63
276;63
277;63
278;63
279;35
280;35
281;35
282;35
283;35
284;35
285;35
286;36
287;36
288;51
289;34
290;36
291;36
292;34
293;36
294;32
295;32
296;32
297;56
298;55
299;58
300;65
301;60
302;60
303;40
304;41
305;41
306;41
307;41
308;41
309;66
310;66
311;66
312;67
313;49
314;67
315;67
316;67
317;67
318;67
319;67
320;67
321;67
322;62
323;62
324;62
325;62
326;62
327;63
328;63
329;51
330;63
331;51
332;51
333;64
334;51
335;51
336;51
337;51
338;51
339;52
340;51
341;64
342;56
343;65
344;65
345;65
346;65
347;60
348;60
349;60
350;66
351;66
352;66
353;66
354;67
355;67
356;67
357;67
358;62
359;62
360;62
361;62
362;62
363;62
364;62
365;62
366;63
367;63
368;63
369;64
370;64
371;52
372;52
373;64
374;64
375;64
376;64
377;64
378;65
379;65
380;65
381;65
382;60
383;66
384;66
385;66
386;67
387;67
388;67
389;67
