Zona 2007;UCOD
1;1
2;1
3;1
4;1
5;1
6;1
7;4
8;4
9;4
10;5
11;5
12;5
13;5
14;5
15;5
16;5
17;5
18;7
19;7
20;2
21;2
22;2
23;2
24;2
25;2
26;2
27;2
28;2
29;2
30;3
31;3
32;3
33;3
34;3
35;4
36;4
37;4
38;5
39;5
40;5
41;5
42;5
43;6
44;6
45;6
46;6
47;6
48;6
49;8
50;8
51;8
52;8
53;8
54;8
55;8
56;8
57;8
58;9
59;9
60;9
61;9
62;10
63;10
64;10
65;10
66;10
67;12
68;12
69;12
70;12
71;12
72;12
73;13
74;13
75;13
76;13
77;13
78;13
79;14
80;14
81;14
82;14
83;3
84;3
85;3
86;3
87;3
88;3
89;3
90;4
91;4
92;4
93;4
94;14
95;14
96;14
97;15
98;15
99;15
100;15
101;15
102;15
103;15
104;15
105;15
106;15
107;15
108;16
109;16
110;16
111;16
112;16
113;61
114;61
115;61
116;61
117;61
118;61
119;18
120;18
121;18
122;18
123;17
124;17
125;17
126;19
127;19
128;19
129;19
130;19
131;19
132;19
133;19
134;19
135;19
136;17
137;17
138;20
139;20
140;20
141;20
142;20
143;20
144;21
145;21
146;21
147;21
148;21
149;21
150;21
151;21
152;22
153;22
154;22
155;22
156;22
157;23
158;23
159;23
160;23
161;23
162;23
163;24
164;24
165;24
166;24
167;29
168;29
169;29
170;28
171;28
172;28
173;28
174;28
175;28
176;28
177;29
178;29
179;33
180;33
181;34
182;34
183;34
184;34
185;33
186;33
187;33
188;35
189;35
190;35
191;35
192;36
193;36
194;35
195;35
196;35
197;24
198;24
199;25
200;25
201;25
202;25
203;30
204;30
205;30
206;30
207;31
208;31
209;31
210;31
211;31
212;31
213;34
214;34
215;36
216;36
217;36
218;332
219;32
220;32
221;32
222;7
223;7
224;7
225;7
226;7
227;7
228;7
229;37
230;37
231;37
232;37
233;37
234;37
235;37
236;37
237;26
238;26
239;26
240;26
241;26
242;26
243;27
244;27
245;27
246;27
247;32
248;32
249;32
250;32
251;10
252;10
253;10
254;10
255;10
256;38
257;38
258;38
259;38
260;39
261;39
262;39
263;39
264;39
265;39
266;39
267;39
268;39
269;40
270;40
271;40
272;40
273;40
274;40
275;60
276;60
277;60
278;60
279;60
280;60
281;11
282;11
283;11
284;11
285;41
286;41
287;41
288;41
289;41
290;41
291;41
292;41
293;41
294;41
295;43
296;43
297;43
298;43
299;42
300;42
301;42
302;42
303;42
304;42
305;42
306;43
307;43
308;43
309;43
310;44
311;44
312;44
313;44
314;44
315;44
316;44
317;43
318;43
319;43
320;43
321;62
322;62
323;62
324;62
325;62
326;62
327;62
328;62
329;62
330;62
331;62
332;62
333;62
334;62
335;62
336;50
337;50
338;50
339;50
340;50
341;50
342;63
343;63
344;63
345;63
346;63
347;63
348;63
349;63
350;63
351;63
352;63
353;63
354;51
355;51
356;51
357;51
358;51
359;51
360;51
361;51
362;51
363;51
364;64
365;64
366;52
367;52
368;52
369;52
370;52
371;64
372;64
373;64
374;64
375;64
376;64
377;64
378;64
379;53
380;53
381;53
382;53
383;54
384;54
385;54
386;54
387;54
388;54
389;55
390;55
391;65
392;56
393;56
394;56
395;56
396;65
397;65
398;65
399;65
400;65
401;58
402;57
403;58
404;58
405;65
406;65
407;65
408;59
409;59
410;59
411;45
412;45
413;66
414;66
415;66
416;66
417;66
418;66
419;66
420;66
421;66
422;66
423;66
424;67
425;67
426;67
427;67
428;67
429;67
430;67
431;67
432;49
433;49
434;49
435;49
436;46
437;46
438;46
439;46
440;47
441;47
442;47
443;48
444;48
445;48
446;48
447;48
448;67
449;67
450;67
451;67
452;67
453;67
454;67
455;67
456;67
457;67
458;67
459;67
460;67
