"ANO";"min";"q1";"mediana";"q3";"max";"media";"devPad";"skew";"curtose";"NAs"
"1";0;16,875;27,5;42,5;240;32,5690223793283;24,8207710058995;1,8615641366144;6,69832262766483;0
"2";0;16,6666666666667;29,0909090909091;46;310;34,3295553659768;26,4098733537403;1,63235607121688;4,94292680594265;0
"3";0;15;28,33333;45;270;33,8336190545015;27,8788994287281;1,62533898460158;4,33812616752771;0
"4";0;15,83333;30;47,881945;225;34,879875051823;27,9074736118215;1,37438395204107;3,10017454802693;0
"Geral";0;16,25;28,75;45;310;33,185864308875;22,4691455368608;1,80373109484975;5,88933017387504;0
