"pesscluster4_ano77";"Nº de registros";"Nº de viagens";"Nº de pessoas";"Nº de famílias";"% de pessoas de 1977";"% de pessoas de 1987";"% de pessoas de 1997";"% de pessoas de 2007";"Nº médio de viagens por pessoa";"Nº médio de viagens por família";"Média da distância total da pessoa (m)";"Média da distância total da família (m)";"Distância média por viagem da pessoa (m)";"Distância média por pessoa da família (m)";"Média da duração total da viagem da pessoa (min)";"Média da duração total de viagens da família (min)";"Duração média de viagens da pessoa (min)";"Duração média de viagens da família (min)";"% de pessoas do sexo feminino";"% de pessoas do sexo masculino";"Média de idade (anos)";"% de pessoa responsável";"% de cônjuges";"% filhos / enteados";"% de outros parentes / agregados";"% de empregados";"% de outros";"% de pessoas não alfabetizadas ou com funamental incompleto";"% de pessoas com fundamental incompleto ou médio incompleto";"% de pessoas com médio completo ou superior incompleto";"% de pessoas com superior completo";"% de pessoas que estudam";"% de pessoas que trabalham";"Média da Renda Individual (R$ - out/2007)";"Média da Renda Familia (R$ - out/2007)";"% de famílias sem renda";"% de famílias na Classe E (até 2 SM)";"% de famílias na Classe D (de 2 a 4 SM)";"% de famílias na Classe C (de 4 a 10 SM)";"% de famílias na Classe B (de 10 a 20 SM)";"% de famílias na Classe A (mais de 20 SM)";"Tamanho médio da família";"% de famílias com presença de criança entre 0 e 4 anos";"% de famílias com presença de criança entre 5 e 9 anos";"% de famílias com presença de criança entre 10 e 14 anos";"% de famílias com presença de adolescente entre 15 e 19 anos";"% de famílias com presença de idosos com 60 anos ou mais";"% de famílias que têm automóvel";"Média da quantidade de autos na família"
1;62480;52786;27332;6541;100;0;0;0;2,99;8,57;12579,73;36075,16;4207,27;4209,47;85,98;246,6;28,76;28,77;52,97;47,03;28,98;23,84;19,5;41,93;10,13;4,3;0,3;66,78;13,42;12,67;7,14;25,66;35,8;1111,29;5246,29;0,02;5,26;14,34;34,51;23,83;22,05;4,18;26,69;24,95;26,86;28,22;23,87;61,24;0,91
2;54820;42889;28276;6215;100;0;0;0;2,62;7,38;15343,87;43225,47;5856,44;5857,11;90,38;254,61;34,5;34,5;50,19;49,81;23,93;21,94;18,08;49,93;9,09;0,72;0,23;85,75;7,71;4,7;1,84;25,3;32,21;563,33;2817,95;0,08;10,65;28,7;39,36;14,61;6,6;4,55;39,65;37,02;34,47;29,35;15,66;36,49;0,47
3;52625;44529;22905;6817;100;0;0;0;3;7,14;10255,83;24382,6;3418,61;3414,93;81,87;194,64;27,29;27,26;53,57;46,43;31,4;29,62;19,43;34,58;12,57;3,51;0,28;61,3;14,61;15,87;8,22;22,66;41,88;1133,3;4758,76;0,65;6,84;16,37;34,11;23,93;18,12;3,36;19,08;15,36;17,44;20,04;25,35;48,35;0,64
4;59121;47237;29515;6584;100;0;0;0;2,67;7,69;13739,58;39484,11;5145,91;5134,47;91,74;263,64;34,36;34,28;50,56;49,44;25,32;22,24;18,71;48,86;9,16;0,83;0,18;82,23;9,69;5,86;2,22;25,38;33,85;667,34;3240,09;0,06;8,93;24,88;40,6;16,9;8,63;4,48;35,45;34,22;34,4;30,04;16,9;43,7;0,57
NA;620264;516317;300998;85917;0;36,82;32,82;30,37;2,62;6,68;11986,63;30538,21;4575,05;4571,59;88,84;226,33;33,91;33,88;52,56;47,44;31,39;28,54;19,87;40,41;10,07;1,01;0,12;58,05;14,45;16,86;10,65;27,08;42,03;610,66;2697,07;7,46;15,33;24,27;32,03;13,76;7,15;3,5;21,81;23,63;22,86;21,71;28,89;50,06;0,69
