"ANO";"min";"q1";"mediana";"q3";"max";"media";"devPad";"skew";"curtose";"NAs"
"1";0;0;6264,966188319;19836,25106358;204894,67849202;13154,9588750118;18090,2645941847;2,31190702060825;8,40622844793098;0
"2";0;0;4029,58547994;17473,5895614;255992,997425;11338,870391732;16622,2203690552;2,32065969222181;8,58107236102653;0
"3";0;0;1826,874;14467,15166584;182219,1;9963,7401083738;16218,6085063268;2,6018516232366;9,94779517509432;0
"4";0;0;6596,96;18795,3;215778,3;12702,2464923893;16899,7523206675;2,45750853316539;10,3245974827394;0
"Geral";0;0;4770,76;17864,74794744;255992,997425;11821,156182808;17047,3155413938;2,40905365118137;9,22012981230608;0
