"ANO";"min";"q1";"mediana";"q3";"max";"media";"devPad";"skew";"curtose";"NAs"
"1";0;3;6;10;59;7,1659976296976;5,68412428928754;1,46181014762682;3,57039100106012;0
"2";0;2;6;9;50;6,48963390863664;4,91697880135482;1,36510884863766;3,30081991826578;0
"3";0;2;5;8;45;6,09178617992177;4,86631688658889;1,33622693185635;3,06496218748275;0
"4";0;2;4;8;68;5,49878463782207;4,42725938590209;1,39522586457425;4,23004521717576;0
"Geral";0;2;6;9;68;9,38168395521071;6,24008511358967;1,38955386759044;3,79800089435772;0
