"famcluster4_ano97";"Nº de registros";"Nº de viagens";"Nº de pessoas";"Nº de famílias";"% de pessoas de 1977";"% de pessoas de 1987";"% de pessoas de 1997";"% de pessoas de 2007";"Nº médio de viagens por pessoa";"Nº médio de viagens por família";"Média da distância total da pessoa (m)";"Média da distância total da família (m)";"Distância média por viagem da pessoa (m)";"Distância média por pessoa da família (m)";"Média da duração total da viagem da pessoa (min)";"Média da duração total de viagens da família (min)";"Duração média de viagens da pessoa (min)";"Duração média de viagens da família (min)";"% de pessoas do sexo feminino";"% de pessoas do sexo masculino";"Média de idade (anos)";"% de pessoa responsável";"% de cônjuges";"% filhos / enteados";"% de outros parentes / agregados";"% de empregados";"% de outros";"% de pessoas não alfabetizadas ou com funamental incompleto";"% de pessoas com fundamental incompleto ou médio incompleto";"% de pessoas com médio completo ou superior incompleto";"% de pessoas com superior completo";"% de pessoas que estudam";"% de pessoas que trabalham";"Média da Renda Individual (R$ - out/2007)";"Média da Renda Familia (R$ - out/2007)";"% de famílias sem renda";"% de famílias na Classe E (até 2 SM)";"% de famílias na Classe D (de 2 a 4 SM)";"% de famílias na Classe C (de 4 a 10 SM)";"% de famílias na Classe B (de 10 a 20 SM)";"% de famílias na Classe A (mais de 20 SM)";"Tamanho médio da família";"% de famílias com presença de criança entre 0 e 4 anos";"% de famílias com presença de criança entre 5 e 9 anos";"% de famílias com presença de criança entre 10 e 14 anos";"% de famílias com presença de adolescente entre 15 e 19 anos";"% de famílias com presença de idosos com 60 anos ou mais";"% de famílias que têm automóvel";"Média da quantidade de autos na família"
1;49420;41104;23506;6424;0;0;100;0;2,71;7,12;9992,34;26278,33;3687,21;3690,78;85,24;224,17;31,45;31,48;52,79;47,21;31,19;27,33;19,61;41;10,7;1,26;0,1;54,93;17,76;17,28;10,04;29,55;43,01;776,86;2842,61;19,69;14,1;17,71;25,37;13,65;9,46;3,66;21,53;23,05;25,81;25,12;28,55;55,7;0,85
2;47294;38226;24365;6294;0;0;100;0;2,5;6,67;11207,21;29919,15;4482,88;4485,63;91,49;244,25;36,6;36,62;51,03;48,97;28,06;25,83;19,47;43,69;10,43;0,5;0,07;65,41;17,66;12,62;4,3;30,65;41,26;495,02;1916,28;21,05;16;22,66;27,47;8,69;4,13;3,87;26,79;28,79;30,03;29,84;19,48;46,3;0,63
3;53042;45399;23667;7240;0;0;100;0;2,83;7,09;9944,79;24895,39;3514,06;3511,34;77,53;194,1;27,4;27,38;54,32;45,68;34,87;30,59;19,48;36,04;11,8;1,98;0,11;43,97;19,08;20,92;16,04;28,01;47,15;1028,99;3363,68;23,19;10,65;14,12;24,13;14,96;12,96;3,27;15,12;16,56;19,19;21,35;36,39;57,83;0,88
4;49884;38805;27242;6887;0;0;100;0;2,4;6,34;11017,37;29087,5;4590,57;4587,93;92,49;244,18;38,54;38,51;50,5;49,5;26,85;25,28;19,35;45,3;9,83;0,19;0,05;73,55;15,01;8,98;2,46;30,3;37,27;411,11;1626,19;18,96;21,24;24,61;26,35;6,26;2,57;3,96;30,22;32,18;32,16;29,21;18,72;40,98;0,51
NA;649670;540224;310246;85229;34,82;35,72;0;29,46;2,69;6,96;12789,65;33081,85;4754,52;4753,14;89,13;230,55;33,13;33,12;52,42;47,58;30,33;27,44;19,65;41,38;9,89;1,46;0,17;63,25;12,39;14,95;9,41;25,48;39,87;676,53;3184,98;1,04;13,01;24,69;35,55;16,54;9,17;3,64;23,86;24,44;23,28;21,84;27,24;49,23;0,67
