"ANO";"min";"q1";"mediana";"q3";"max";"media";"devPad";"skew";"curtose";"NAs"
"1";75,5381528357143;2556,93274800972;4445,70864776966;7486,8145488225;64545,1889859;5823,88202223622;4971,22734949936;2,39143410246695;9,51541770759879;0
"2";101,9327370332;2555,4690599875;4670,77983881618;8043,4987960975;61836,7302752;6201,68925485169;5427,05452828038;2,22460180771051;7,75305040583538;0
"3";34,98139;2231,1885;4450,88883456786;7906,6005;70507,29;6136,31086244972;5879,75769340406;2,50730206994383;10,3660805057494;0
"4";12,975;2338,54775;4512,1695;8032,5715;80054,2;6139,05500751976;5767,37378568868;2,55056040203636;11,1929269992555;0
"Geral";12,975;2428,30472868966;4521,891;7853,0418348525;80054,2;4609,48709882813;4731,15756651261;2,3900634903802;10,3762750267542;0
