"ANO";"min";"q1";"mediana";"q3";"max";"media";"devPad";"skew";"curtose";"NAs"
"1";0;82;180;310;2090;222,959590167068;193,830562952233;1,6316291739196;4,32961486189629;0
"2";0;80;170;298;2703;212,174327533047;180,359152204066;1,65446383724234;5,42296772480824;0
"3";0;70;165;290;1890;202,332687651332;177,70545663061;1,4540083873139;3,3000628933682;0
"4";0;60;160;285;3035;197,273894020418;176,294164786617;1,51769012341475;5,1734078763282;0
"Geral";0;75;170;295;3035;285,080523012799;210,352044546362;1,51652200539862;4,84375726277544;0
