"ANO";"min";"q1";"mediana";"q3";"max";"media";"devPad";"skew";"curtose";"NAs"
"1";371,607171926;14980,690364905;29886,46534844;52806,0180177;391286,9402866;39791,2652858904;35994,69060164;2,19295378835384;7,73674437541099;0
"2";761,799461214;14411,766683725;28582,60635283;50379,5124294;527551,75671922;37892,0950013209;34077,9647578091;2,3264481442315;10,235032570798;0
"3";454,531443325;12482,14755002;26946,48620449;49387,298572695;371778,8;36621,3657336662;34423,1535620255;2,30116302305987;9,26176289198799;0
"4";34,35;11449,3125;25161,785;47319,195;426417,6;34337,099303629;32508,1029651793;2,22885082446362;9,14156615764883;0
"Geral";34,35;13263,8045879245;27583,94270045;49945,5033263368;527551,75671922;39662,543792923;40739,0988676432;2,04052032460444;7,2728378141127;0
