"ANO";"min";"q1";"mediana";"q3";"max";"media";"devPad";"skew";"curtose";"NAs"
"1";0;7,5;19;35;240;25,4712246389406;26,3531443903541;1,99770663600895;6,14458114644069;0
"2";0;6,25;18;37,5;360;26,7361673052705;28,523173761988;1,83067497423421;4,53372966953273;0
"3";0;7,5;19,16667;37;315;27,2070777360549;29,0715833908827;1,92774905657042;5,0450431647254;0
"4";0;10;22,5;42,5;240;30,9453375177582;30,018170652215;1,76881011542309;4,18601770664494;0
"Geral";0;8,5;20;37,5;360;27,4805572958576;28,516313525576;1,8836909296591;4,94768219305377;0
