"ANO";"min";"q1";"mediana";"q3";"max";"media";"devPad";"skew";"curtose";"NAs"
"1";0;0;2040,40868179;5554,76145949;70375,1750965;3790,62692436571;5255,55829875064;2,45145898092662;9,25050580039051;0
"2";0;0;1371,74420561;5539,354450695;81193,9628977;3794,86134928335;5768,0297276757;2,4728843289683;8,90561903171059;0
"3";0;0;598,5456603475;4403,427;82270,63;3309,2037628964;5696,81057717139;2,93131367071241;12,3537785495628;0
"4";0;0;2152,424;5925,8;80054,2;4329,27666493106;6109,56925215282;2,65778869060858;10,6092324888514;0
"Geral";0;0;1607,68;5402,006831715;82270,63;3803,32924100875;5711,00959018798;2,63429309012082;10,3935039502091;0
