"famcluster4_ano77";"Nº de registros";"Nº de viagens";"Nº de pessoas";"Nº de famílias";"% de pessoas de 1977";"% de pessoas de 1987";"% de pessoas de 1997";"% de pessoas de 2007";"Nº médio de viagens por pessoa";"Nº médio de viagens por família";"Média da distância total da pessoa (m)";"Média da distância total da família (m)";"Distância média por viagem da pessoa (m)";"Distância média por pessoa da família (m)";"Média da duração total da viagem da pessoa (min)";"Média da duração total de viagens da família (min)";"Duração média de viagens da pessoa (min)";"Duração média de viagens da família (min)";"% de pessoas do sexo feminino";"% de pessoas do sexo masculino";"Média de idade (anos)";"% de pessoa responsável";"% de cônjuges";"% filhos / enteados";"% de outros parentes / agregados";"% de empregados";"% de outros";"% de pessoas não alfabetizadas ou com funamental incompleto";"% de pessoas com fundamental incompleto ou médio incompleto";"% de pessoas com médio completo ou superior incompleto";"% de pessoas com superior completo";"% de pessoas que estudam";"% de pessoas que trabalham";"Média da Renda Individual (R$ - out/2007)";"Média da Renda Familia (R$ - out/2007)";"% de famílias sem renda";"% de famílias na Classe E (até 2 SM)";"% de famílias na Classe D (de 2 a 4 SM)";"% de famílias na Classe C (de 4 a 10 SM)";"% de famílias na Classe B (de 10 a 20 SM)";"% de famílias na Classe A (mais de 20 SM)";"Tamanho médio da família";"% de famílias com presença de criança entre 0 e 4 anos";"% de famílias com presença de criança entre 5 e 9 anos";"% de famílias com presença de criança entre 10 e 14 anos";"% de famílias com presença de adolescente entre 15 e 19 anos";"% de famílias com presença de idosos com 60 anos ou mais";"% de famílias que têm automóvel";"Média da quantidade de autos na família"
1;61939;52400;27059;6584;100;0;0;0;2,99;8,46;12457,5;35293,24;4166,39;4171,78;86,09;243,94;28,79;28,83;52,9;47,1;29,08;24,24;19,63;41,59;10,33;3,92;0,28;66,8;13,31;12,71;7,17;25,24;36,44;1104,32;5110,92;0,02;5,18;14,57;34,77;24,29;21,19;4,11;26,9;24,1;25,94;27,16;24,22;60,48;0,87
2;58756;46314;29837;6587;100;0;0;0;2,66;7,52;15161,07;42866,07;5699,65;5700,28;89,83;253,97;33,77;33,77;50,25;49,75;24,13;22,03;18,2;49,67;9,08;0,78;0,23;85,11;7,99;4,93;1,98;25,4;32,34;591,98;2934,97;0,08;10,44;27,81;39,17;15,21;7,29;4,53;38,96;36,51;34,31;29,32;16,01;37,98;0,49
3;47948;40576;20933;6290;100;0;0;0;2,99;7,06;10141,83;23954,91;3391,92;3393,05;82,01;193,69;27,43;27,43;53,3;46,7;31,44;29,9;19,39;34,51;12,7;3,2;0,3;61,95;14,67;15,67;7,71;22,71;42,18;1113,84;4654,63;0,7;7,07;16,9;34,53;23,67;17,12;3,33;18,54;15,42;17,28;20;25,03;46,96;0,62
4;60403;48151;30199;6696;100;0;0;0;2,68;7,71;13778,57;39635,88;5141,26;5140,84;91,42;263;34,11;34,11;51;49;25,51;22,1;18,59;48,42;9,15;1,53;0,19;80,72;9,92;6,5;2,86;25,45;33,55;698,59;3486;0,06;8,75;24,22;39,73;16,74;10,5;4,51;34,98;33,92;34,32;30,42;17,21;44,94;0,61
NA;620264;516317;300998;85917;0;36,82;32,82;30,37;2,62;6,68;11986,63;30538,21;4575,05;4571,59;88,84;226,33;33,91;33,88;52,56;47,44;31,39;28,54;19,87;40,41;10,07;1,01;0,12;58,05;14,45;16,86;10,65;27,08;42,03;610,66;2697,07;7,46;15,33;24,27;32,03;13,76;7,15;3,5;21,81;23,63;22,86;21,71;28,89;50,06;0,69
