"pesscluster4_ano87";"Nº de registros";"Nº de viagens";"Nº de pessoas";"Nº de famílias";"% de pessoas de 1977";"% de pessoas de 1987";"% de pessoas de 1997";"% de pessoas de 2007";"Nº médio de viagens por pessoa";"Nº médio de viagens por família";"Média da distância total da pessoa (m)";"Média da distância total da família (m)";"Distância média por viagem da pessoa (m)";"Distância média por pessoa da família (m)";"Média da duração total da viagem da pessoa (min)";"Média da duração total de viagens da família (min)";"Duração média de viagens da pessoa (min)";"Duração média de viagens da família (min)";"% de pessoas do sexo feminino";"% de pessoas do sexo masculino";"Média de idade (anos)";"% de pessoa responsável";"% de cônjuges";"% filhos / enteados";"% de outros parentes / agregados";"% de empregados";"% de outros";"% de pessoas não alfabetizadas ou com funamental incompleto";"% de pessoas com fundamental incompleto ou médio incompleto";"% de pessoas com médio completo ou superior incompleto";"% de pessoas com superior completo";"% de pessoas que estudam";"% de pessoas que trabalham";"Média da Renda Individual (R$ - out/2007)";"Média da Renda Familia (R$ - out/2007)";"% de famílias sem renda";"% de famílias na Classe E (até 2 SM)";"% de famílias na Classe D (de 2 a 4 SM)";"% de famílias na Classe C (de 4 a 10 SM)";"% de famílias na Classe B (de 10 a 20 SM)";"% de famílias na Classe A (mais de 20 SM)";"Tamanho médio da família";"% de famílias com presença de criança entre 0 e 4 anos";"% de famílias com presença de criança entre 5 e 9 anos";"% de famílias com presença de criança entre 10 e 14 anos";"% de famílias com presença de adolescente entre 15 e 19 anos";"% de famílias com presença de idosos com 60 anos ou mais";"% de famílias que têm automóvel";"Média da quantidade de autos na família"
1;56455;45471;29031;7085;0;100;0;0;2,52;6,9;14285,51;39127,41;5668,85;5670,64;94,02;257,51;37,31;37,32;51,67;48,33;26,86;24,41;19,49;45,83;9,61;0,46;0,2;76,44;11,61;8,44;3,51;26,56;36,71;459,67;2041,53;1,51;21,72;30,16;34,82;8,92;2,87;4,1;32,51;35,61;29,65;24,84;20,65;39,44;0,49
2;44966;35888;23388;5676;0;100;0;0;2,51;6,74;13125,38;35272,15;5229,24;5233,26;87,82;235,99;34,99;35,01;51,06;48,94;25,75;24,25;19,53;47,12;8,35;0,59;0,16;78,6;9,76;7,56;4,08;26,98;34,96;457,51;2105,12;1,34;23,33;31,1;31,92;8,65;3,66;4,12;35,11;36,87;31,54;24,3;18,83;38,85;0,5
3;58313;47012;29519;7154;0;100;0;0;2,58;7,05;11507,72;31422;4460,36;4457,02;84,48;230,69;32,74;32,72;50,89;49,11;26,08;24,24;19,67;46,62;8,71;0,59;0,17;78,05;10,79;7,55;3,62;25,95;35,37;464,26;2087,47;1,72;22,06;29,94;34,22;9,14;2,92;4,13;35,35;36,9;29,82;24,5;18,91;41,03;0,51
4;64192;54747;28875;8302;0;100;0;0;2,82;7,21;10009,56;25623,95;3549,49;3553,95;76,91;196,89;27,27;27,31;54,29;45,71;32,31;28,7;19,97;37,59;11,5;2,01;0,23;59,52;13,43;15,19;11,86;24,25;41,26;824,07;3155,01;0,77;15,89;20,83;35,44;19;8,08;3,48;22,15;22,79;18,48;17,49;32,15;52,55;0,73
NA;625384;520640;298213;83857;36,23;0;33,12;30,65;2,69;6,89;12296,98;31518,11;4571,37;4574,47;89,64;229,75;33,32;33,35;52,46;47,54;31,18;28,09;19,59;40,44;10,26;1,49;0,14;58,59;14,36;16,79;10,26;26,71;41,6;718,34;3217,23;7,27;11,3;22,12;32,85;16,32;10,15;3,56;21,37;21,93;23,18;23,04;28,2;51,47;0,72
