"pesscluster4_ano07";"Nº de registros";"Nº de viagens";"Nº de pessoas";"Nº de famílias";"% de pessoas de 1977";"% de pessoas de 1987";"% de pessoas de 1997";"% de pessoas de 2007";"Nº médio de viagens por pessoa";"Nº médio de viagens por família";"Média da distância total da pessoa (m)";"Média da distância total da família (m)";"Distância média por viagem da pessoa (m)";"Distância média por pessoa da família (m)";"Média da duração total da viagem da pessoa (min)";"Média da duração total de viagens da família (min)";"Duração média de viagens da pessoa (min)";"Duração média de viagens da família (min)";"% de pessoas do sexo feminino";"% de pessoas do sexo masculino";"Média de idade (anos)";"% de pessoa responsável";"% de cônjuges";"% filhos / enteados";"% de outros parentes / agregados";"% de empregados";"% de outros";"% de pessoas não alfabetizadas ou com funamental incompleto";"% de pessoas com fundamental incompleto ou médio incompleto";"% de pessoas com médio completo ou superior incompleto";"% de pessoas com superior completo";"% de pessoas que estudam";"% de pessoas que trabalham";"Média da Renda Individual (R$ - out/2007)";"Média da Renda Familia (R$ - out/2007)";"% de famílias sem renda";"% de famílias na Classe E (até 2 SM)";"% de famílias na Classe D (de 2 a 4 SM)";"% de famílias na Classe C (de 4 a 10 SM)";"% de famílias na Classe B (de 10 a 20 SM)";"% de famílias na Classe A (mais de 20 SM)";"Tamanho médio da família";"% de famílias com presença de criança entre 0 e 4 anos";"% de famílias com presença de criança entre 5 e 9 anos";"% de famílias com presença de criança entre 10 e 14 anos";"% de famílias com presença de adolescente entre 15 e 19 anos";"% de famílias com presença de idosos com 60 anos ou mais";"% de famílias que têm automóvel";"Média da quantidade de autos na família"
1;40221;33207;20491;6285;0;0;0;100;2,46;6,12;14162,27;35163,03;5757,02;5745,59;89,91;223,24;36,55;36,48;51,85;48,15;33,71;30,67;21,02;39,2;9,03;0,07;0;46,82;17,07;28,33;7,78;27,9;42,11;384,27;2022,29;2,16;15,42;34,32;36,4;9,51;2,18;3,26;15,94;18,93;22,07;22,32;30,15;49,79;0,63
2;44210;38169;20991;6732;0;0;0;100;2,55;6,36;14128,16;35220,28;5540,45;5537,78;97,83;243,88;38,36;38,35;53,25;46,75;35,97;32,07;20,49;37,13;10,05;0,22;0,04;42,78;16,14;29,57;11,52;26,96;46,75;483,62;2371,06;1,11;12,92;29,93;38,98;13,61;3,45;3,12;13,77;17,26;18,27;19,43;36,19;50,01;0,65
3;47291;40502;22557;7389;0;0;0;100;2,57;6,2;14164,73;34187,89;5511,57;5514,18;103,92;250,83;40,44;40,46;53,5;46,5;36,52;32,76;20,65;35,38;9,74;1,4;0,08;38,76;15,27;27,17;18,8;25,85;48,22;526,85;3242,93;1,52;10,88;25,52;34,55;17,44;10,08;3,05;13,37;15,41;16,75;18,01;35,76;57,19;0,83
4;64976;57787;27366;10449;0;0;0;100;2,86;6,29;11207,3;24627,49;3918,64;3915,34;87,92;193,2;30,74;30,72;55,71;44,29;40,92;38,18;20,07;28,21;10,88;2,53;0,13;26,8;12,26;26,42;34,52;23,05;53,06;967,53;4371,31;1,36;5,96;16,62;33,12;26,13;16,81;2,62;8,71;9,13;10,28;11,66;41,25;62,15;0,92
NA;652612;534093;317621;81219;34,01;34,89;31,1;0;2,68;7,16;11940,22;31901,61;4455,31;4455,53;86,6;231,38;32,31;32,32;51,94;48,06;28,32;25,54;19,35;43,45;10,1;1,38;0,17;69,55;13,18;11,18;6,09;26,71;38,17;690,69;2942,87;7,39;14,73;22,81;32,37;14,16;8,53;3,91;28,02;28,43;27,16;25,13;23,29;47,09;0,64
