"famcluster4_ano87";"Nº de registros";"Nº de viagens";"Nº de pessoas";"Nº de famílias";"% de pessoas de 1977";"% de pessoas de 1987";"% de pessoas de 1997";"% de pessoas de 2007";"Nº médio de viagens por pessoa";"Nº médio de viagens por família";"Média da distância total da pessoa (m)";"Média da distância total da família (m)";"Distância média por viagem da pessoa (m)";"Distância média por pessoa da família (m)";"Média da duração total da viagem da pessoa (min)";"Média da duração total de viagens da família (min)";"Duração média de viagens da pessoa (min)";"Duração média de viagens da família (min)";"% de pessoas do sexo feminino";"% de pessoas do sexo masculino";"Média de idade (anos)";"% de pessoa responsável";"% de cônjuges";"% filhos / enteados";"% de outros parentes / agregados";"% de empregados";"% de outros";"% de pessoas não alfabetizadas ou com funamental incompleto";"% de pessoas com fundamental incompleto ou médio incompleto";"% de pessoas com médio completo ou superior incompleto";"% de pessoas com superior completo";"% de pessoas que estudam";"% de pessoas que trabalham";"Média da Renda Individual (R$ - out/2007)";"Média da Renda Familia (R$ - out/2007)";"% de famílias sem renda";"% de famílias na Classe E (até 2 SM)";"% de famílias na Classe D (de 2 a 4 SM)";"% de famílias na Classe C (de 4 a 10 SM)";"% de famílias na Classe B (de 10 a 20 SM)";"% de famílias na Classe A (mais de 20 SM)";"Tamanho médio da família";"% de famílias com presença de criança entre 0 e 4 anos";"% de famílias com presença de criança entre 5 e 9 anos";"% de famílias com presença de criança entre 10 e 14 anos";"% de famílias com presença de adolescente entre 15 e 19 anos";"% de famílias com presença de idosos com 60 anos ou mais";"% de famílias que têm automóvel";"Média da quantidade de autos na família"
1;44830;35545;23684;5719;0;100;0;0;2,47;6,63;13003,59;34939,12;5264,61;5269,85;87,61;235,39;35,47;35,5;50,75;49,25;25,44;24,13;19,41;47,54;8,33;0,45;0,14;80,1;9,54;6,93;3,43;26,79;34,73;420,5;1948,48;1,47;24,08;31,84;32,19;7,64;2,78;4,14;35,76;37,8;31,56;24,5;18,15;36,77;0,47
2;60060;48545;30618;7489;0;100;0;0;2,54;6,96;14221,63;38955,51;5599,07;5597,06;93,43;255,92;36,78;36,77;51,79;48,21;27,04;24,46;19,49;45,69;9,57;0,58;0,21;75,39;11,73;8,83;4,04;26,66;36,88;484,13;2157,43;1,44;21,14;29,55;34,64;9,72;3,51;4,09;32,02;34,97;29,63;24,94;21,06;40,86;0,52
3;63425;54134;28482;8196;0;100;0;0;2,82;7,23;10003,8;25628,49;3547,45;3544,74;77,09;197,5;27,34;27,32;54,29;45,71;32,35;28,73;20;37,53;11,54;1,98;0,22;59,48;13,48;15,2;11,85;24,28;41,27;826,65;3153,57;0,78;15,86;20,83;35,49;18,97;8,06;3,48;22,1;22,84;18,41;17,44;32,25;52,45;0,73
4;55611;44894;28029;6813;0;100;0;0;2,59;7,07;11487,45;31308,35;4435,31;4428,34;84,41;230,04;32,59;32,54;51;49;26,15;24,31;19,76;46,4;8,73;0,62;0,18;77,79;10,78;7,71;3,72;25,91;35,38;471,57;2112,51;1,67;22,02;29,83;34,13;9,31;3,05;4,11;35,37;36,62;29,72;24,16;19,02;41,61;0,52
NA;625384;520640;298213;83857;36,23;0;33,12;30,65;2,69;6,89;12296,98;31518,11;4571,37;4574,47;89,64;229,75;33,32;33,35;52,46;47,54;31,18;28,09;19,59;40,44;10,26;1,49;0,14;58,59;14,36;16,79;10,26;26,71;41,6;718,34;3217,23;7,27;11,3;22,12;32,85;16,32;10,15;3,56;21,37;21,93;23,18;23,04;28,2;51,47;0,72
